Location,Name,Score
Life Pacific,Warriors,50
San Francisco,Dons,71
Long Beach State,49ers,83
California,Golden Bears,66
UC Riverside,Highlanders,74
Oregon,Ducks,70
Coppin State,Eagles,54
Hawai'i,Rainbow Warriors,82
Arkansas-Pine Bluff,Golden Lions,70
Northern Illinois,Huskies,0
St. Francis (ILL),Fighting Saints,0
